abell_num,ra,dec
1,1.9,16.51666667
2,2.125,-19.63333333
3,2.325,4.033333333
4,2.35,6.783333333
5,2.575,33.1
6,2.625,17.7
7,2.925,32.41666667
8,3.05,-11.18333333
9,3.1,9.466666667
10,3.225,-5.983333333
11,3.175,-16.43333333
12,3.35,-7.6
13,3.4,-19.5
14,3.8,-23.88333333
15,3.8,-26.01666667
16,4.2,6.75
17,4.25,8.8
18,4.275,-2.783333333
19,4.725,-6.183333333
20,4.9,-22.61666667
21,5.125,28.63333333
22,5.175,-25.7
23,5.45,-0.883333333
24,5.625,23.3
25,5.775,-0.15
26,5.825,36.85
27,6.2,-20.7
28,6.3,8.133333333
29,6.75,38.56666667
30,6.675,-12.18333333
31,6.775,22.63333333
32,6.725,-9.1
33,6.775,-19.5
34,6.8,-8.8
35,6.85,-21.66666667
36,6.9,-12.78333333
37,6.975,-10.51666667
38,7.1,13.93333333
39,7.075,-11.38333333
40,7.15,16.4
41,7.2,7.85
42,7.15,-23.63333333
43,7.225,17.58333333
44,7.4,12.03333333
45,7.45,-12.28333333
46,7.55,-12.86666667
47,7.65,-24.15
48,7.8,12.55
49,7.85,-11.41666667
50,7.85,-22.21666667
51,7.9,-23.65
52,7.95,-12.18333333
53,8.15,-7.55
54,8.425,26.75
55,8.5,6.333333333
56,8.45,-7.783333333
57,8.475,-8.9
58,8.5,-6.75
59,8.625,30.28333333
60,8.75,30.03333333
61,8.7,-23.18333333
62,8.825,20.4
63,8.975,49.7
64,9.125,18.91666667
65,9.225,19.08333333
66,9.15,-5.166666667
67,9.25,19.26666667
68,9.25,9.15
69,9.4,18.33333333
70,9.325,-7.433333333
71,9.45,29.58333333
72,9.625,45.71666667
73,9.575,9.416666667
74,9.725,-22.31666667
75,9.95,21.25
76,9.95,6.766666667
77,10.15,29.51666667
78,10.15,26.73333333
79,10.15,18.13333333
80,10.1,-24.68333333
81,10.25,22.26666667
82,10.35,25.4
83,10.35,14.03333333
84,10.45,21.4
85,10.4,-9.35
86,10.625,-21.8
87,10.75,-9.8
88,10.725,-26.05
89,10.775,-9.433333333
90,10.85,2.166666667
91,10.8,-10.63333333
92,10.925,20.65
93,10.925,-18.46666667
94,11.325,-2.333333333
95,11.475,-0.866666667
96,11.6,39.5
97,11.475,-23.16666667
98,11.6,20.48333333
99,11.7,-17.65
100,11.825,-2.516666667
101,11.9,-0.916666667
102,12.175,1.366666667
103,12.3,-5.85
104,12.45,24.51666667
105,12.375,-4.733333333
106,12.6,-11.68333333
107,12.575,-19.25
108,12.75,-6.55
109,13.125,22.21666667
110,13.2,6.116666667
111,13.2,-5.016666667
112,13.425,-0.8
113,13.375,-4.616666667
114,13.425,-21.68333333
115,14,26.31666667
116,13.975,0.633333333
117,14,-10.03333333
118,13.925,-26.41666667
119,14.1,-1.266666667
120,14.275,-16.41666667
121,14.375,-7.016666667
122,14.35,-26.28333333
123,14.6,-14.4
124,14.85,42.36666667
125,15.025,14.26666667
126,14.95,-14.21666667
127,14.975,-23.46666667
128,15.125,-12.96666667
129,15.25,-9.966666667
130,15.4,-0.15
131,15.55,-14.78333333
132,15.75,27.01666667
133,15.65,-21.8
134,15.75,-2.533333333
135,15.8,-22.58333333
136,16.025,25.06666667
137,16.125,25.73333333
138,16.325,43.1
139,16.35,36.38333333
140,16.125,-23.96666667
141,16.4,-24.6
142,16.55,0.95
143,16.675,26.23333333
144,16.575,-20.86666667
145,16.675,-2.45
146,16.875,-11.25
147,17.05,2.166666667
148,17,-13.18333333
149,17.35,43.6
150,17.3,13.16666667
151,17.225,-15.41666667
152,17.45,13.98333333
153,17.425,5.233333333
154,17.75,17.66666667
155,17.575,-24.81666667
156,17.95,33.45
157,17.775,-14.4
158,17.95,16.88333333
159,18,-15.1
160,18.225,15.51666667
161,18.7,37.41666667
162,18.55,2.883333333
163,18.65,24.73333333
164,18.575,-3.75
165,18.85,32.6
166,18.65,-16.26666667
167,18.85,24.48333333
168,18.8,0.25
169,19.125,41.11666667
170,19.025,13.1
171,19.2,16.26666667
172,19.25,3.25
173,19.7,39
174,19.95,35.81666667
175,19.9,14.88333333
176,19.9,-8.133333333
177,20,-21.01666667
178,20.45,20.08333333
179,20.45,19.48333333
180,20.475,3.016666667
181,20.5,0.3
182,20.55,-6.916666667
183,20.475,-21.9
184,20.675,13.05
185,20.6,-21.46666667
186,20.675,-10.41666667
187,20.625,-19.21666667
188,20.7,-12.76666667
189,20.925,1.65
190,20.925,-9.85
191,21.1,20.91666667
192,21.075,4.483333333
193,21.275,8.7
194,21.4,-1.5
195,21.725,19.18333333
196,21.8,23.21666667
197,21.675,-18.1
198,21.75,-16.43333333
199,21.775,-17.78333333
0,0,0
200,22,15.21666667
201,22.025,16.53333333
202,21.975,7.283333333
203,22.075,1.883333333
204,22.15,-6.783333333
205,22.25,6.2
206,22.125,-25.58333333
207,22.275,-2.5
208,22.9,0.533333333
209,23,-13.58333333
210,23.075,-25.98333333
211,23.2,-4.016666667
212,23.575,4.483333333
213,23.85,20.61666667
214,23.575,-26.1
215,23.85,-23.45
216,24.175,-6.416666667
217,24.15,-8.05
218,24.15,-10.75
219,24.325,9.15
220,24.325,7.933333333
221,24.525,18.13333333
222,24.375,-12.98333333
223,24.5,-12.78333333
224,24.575,-6.95
225,24.725,18.88333333
226,24.75,-10.25
227,24.95,18.18333333
228,24.8,-10.05
229,24.85,-3.633333333
230,24.875,-11.36666667
231,25.15,24.51666667
232,25.025,-10.36666667
233,25.075,-1.833333333
234,25.25,18.91666667
235,25.05,-17.41666667
236,25.125,-11.85
237,25.25,0.266666667
238,25.225,-23.05
239,25.35,-11.78333333
240,25.475,7.616666667
241,25.4,-16.25
242,25.475,-14.31666667
243,25.625,-10.23333333
244,26.05,18.48333333
245,26.025,6.383333333
246,26.175,5.8
247,26.3,17.63333333
248,26.2,-2.266666667
249,26.675,20.05
250,26.75,19.68333333
251,26.6,-7.3
252,26.65,-2.7
253,26.95,20.65
254,26.8,-3.283333333
255,26.825,-1.983333333
256,26.9,-3.85
257,27.25,13.98333333
258,27.525,23.46666667
259,27.575,-11.98333333
260,27.975,33.16666667
261,27.85,-2.233333333
262,28.2,36.15
263,28.35,37.56666667
264,27.95,-25.76666667
265,28.1,-7.016666667
266,28.15,-4.133333333
267,28.225,1.05
268,28.35,-1.116666667
269,28.375,-4.316666667
270,28.45,-2.816666667
271,28.525,1.766666667
272,28.825,33.95
273,28.525,-23.53333333
274,28.675,-6.266666667
275,28.95,14.66666667
276,29.275,41.36666667
277,28.95,-7.366666667
278,29.325,32.23333333
279,29.1,1.066666667
280,29.125,-1.766666667
281,29.275,-5.833333333
282,29.25,-10.1
283,29.225,-22.03333333
284,29.475,-0.633333333
285,29.475,-3.733333333
286,29.6,-1.766666667
287,30.1,-7.866666667
288,30.425,18.41666667
289,30.175,-24.63333333
290,30.55,21.01666667
291,30.4,-2.183333333
292,30.625,19.08333333
293,30.5,3.766666667
294,30.55,5.4
295,30.625,-1.083333333
296,30.6,-3.133333333
297,30.525,-25.58333333
298,30.7,-9.35
299,31.2,0.316666667
300,31.325,17.85
301,31.325,-2.1
302,31.375,-24.76666667
303,31.55,-3.316666667
304,31.625,4.483333333
305,31.625,-14.91666667
306,31.775,-11.8
307,32.025,10.46666667
