ngc,ra,dec
N0001,1.1715,27.43008333
N0002,1.176583333,27.39969444
N0003,1.178208333,8.022916667
N0004,1.210166667,8.094722222
N0005,1.307575,35.08399444
N0006=N0020,1.739041667,33.03055556
N0007,1.451208333,-30.19425
N0008,1.544583333,23.56
N0009,1.582958333,23.53958333
N0010,1.508333333,-34.13638889
N0011,1.529208333,37.17008333
N0012,1.545333333,4.334055556
N0013,1.552666667,33.15491667
N0014,1.549541667,15.53733333
N0014ne,1.550125,15.54036111
N0014sw,1.547625,15.53280556
N0015,1.616,21.34615556
N0016,1.622,27.45144444
N0017=N0034,2.13875,-12.38555556
N0018,1.7005,27.45338889
N0019,2.022541667,32.70477778
N0020=N0006,1.739041667,33.03055556
N0021=N0029,2.047,33.07436111
N0022,1.804875,27.55369444
N0023,1.82725,25.64591667
N0024,1.849125,-25.242
N0025,1.874166667,-57.29833333
N0026,1.962166667,25.55394444
N0027,1.989958333,28.71844444
N0028,1.9825,-57.26802778
N0029=N0021,2.047125,33.07438889
N0030,2.06625,21.69872222
N0031,2.037541667,-57.26416667
N0032,2.078708333,18.51755556
N0033,2.094583333,3.3975
N0034=N0017,2.13875,-12.38555556
N0035,2.155470833,-12.29886667
N0036,2.201166667,6.110972222
N0037,2.225875,-57.23530556
N0038,2.306666667,-5.865
N0039,2.430375,30.78308333
N0040,2.568625,72.24408333
N0041,2.553875,21.74555556
N0042,2.588495833,21.82226667
N0043,2.604458333,30.63719444
N0044,2.656333333,31.00816667
N0045,2.880833333,-23.45930556
N0046,2.899166667,5.709194444
N0047=N0058,2.989208333,-7.445861111
N0048,2.851041667,47.95669444
N0049,2.9352125,47.96861944
N0050,3.0475,-7.623333333
N0051,2.986695833,47.97776389
N0052,3.021458333,18.30316667
N0053,3.065833333,-60.60638889
N0054,3.143333333,-7.385
N0055,3.154166667,-39.48358333
N0055 bar,3.098875,-39.47502778
N0056,3.191666667,12.16666667
N0057,3.232791667,17.05005556
N0058=N0047,2.989208333,-7.445861111
N0059,3.221666667,-21.72194444
N0060,3.352375,-0.581722222
N0061=N0061s,3.463333333,-6.6
N0061a=N0061n,3.462083333,-6.595555556
N0061n+s,3.462958333,-6.597972222
N0062,3.636666667,-13.76416667
N0063,3.794791667,11.17205556
N0064,3.738333333,-7.103055556
N0065,4.115291667,-23.15808333
N0066,4.138291667,-23.21455556
N0067 comp,3.909583333,29.78527778
N0067=N0067A,3.89875,29.7775
N0068,3.924125,29.79405556
N0069,3.932833333,29.76239167
N0070=I1539,3.941416667,29.80186111
N0071,3.945625,29.78541667
N0072,3.965625,29.76275
